Date,Open,High,Low,Close,Volume,Name
2006-01-04,82.2,82.5,81.33,81.95,9840600,IBM
2006-01-06,83.95,85.03,83.41,84.95,8197400,IBM
2006-01-10,83.15,84.12,83.12,84.07,5701000,IBM
2006-01-12,83.82,83.96,83.4,83.57,4926500,IBM
2006-01-17,82.8,83.16,82.54,83.0,8761700,IBM
2006-01-19,84.14,84.39,83.02,83.09,6484000,IBM
2006-01-23,81.33,81.92,80.92,81.41,6114100,IBM
2006-01-25,81.05,81.62,80.61,80.91,6374300,IBM
2006-01-27,80.75,81.77,80.75,81.02,6103400,IBM
2006-01-31,81.5,82.0,81.17,81.3,6771600,IBM
2006-02-02,81.45,81.59,80.9,81.23,6198000,IBM
2006-02-06,79.94,79.95,78.93,79.51,9568600,IBM
2006-02-08,80.58,80.9,80.24,80.8,5030500,IBM
2006-02-10,80.4,81.46,80.2,81.33,5371900,IBM
2006-02-14,80.55,81.45,80.35,81.09,6075500,IBM
2006-02-16,80.68,80.91,80.13,80.91,5310500,IBM
2006-02-21,80.1,80.75,79.97,80.5,5839100,IBM
2006-02-23,81.2,81.34,80.04,80.2,4979900,IBM
2006-02-27,79.97,80.89,79.95,80.63,3787200,IBM
2006-03-01,80.2,80.81,79.78,79.9,5211600,IBM
2006-03-03,79.51,80.83,79.51,79.96,4354400,IBM
2006-03-07,80.01,80.79,79.86,80.29,4330800,IBM
2006-03-09,81.26,81.98,80.8,81.02,4310700,IBM
2006-03-13,81.56,82.4,81.45,81.93,4571400,IBM
2006-03-15,82.65,83.76,82.64,83.38,5370400,IBM
2006-03-17,83.35,83.41,82.82,83.3,6414500,IBM
2006-03-21,83.82,84.99,83.58,83.81,7404300,IBM
2006-03-23,84.23,84.27,82.93,83.2,5105800,IBM
2006-03-27,82.98,83.26,82.58,83.08,3910100,IBM
2006-03-29,82.2,83.55,82.2,83.13,4633800,IBM
2006-03-31,82.95,83.6,82.29,82.47,5862000,IBM
2006-04-04,83.05,83.78,82.8,83.45,3856200,IBM
2006-04-06,83.7,84.32,83.36,83.81,4944100,IBM
2006-04-10,82.27,82.74,82.0,82.1,3631300,IBM
2006-04-12,81.1,81.37,80.63,80.75,3905700,IBM
2006-04-17,81.92,82.92,81.4,81.64,4634200,IBM
2006-04-19,83.95,84.0,81.26,81.86,10555200,IBM
2006-04-21,82.49,82.5,81.38,81.66,6117400,IBM
2006-04-25,81.95,82.9,81.6,82.67,6857400,IBM
